id,game_day,kickoff_time,stadium_name,spectators_num,weather,temperature,humidity,home_team_name,home_team_id,away_team_name,away_team_id,home_score,home_score_1st,home_score_2nd,away_score,away_score_1st,away_score_2nd,home_sh,home_ck,home_fk,away_sh,away_ck,away_fk
24974,2021/02/26,18:04,等々力陸上競技場,4868,曇,10.8,27.0,川崎フロンターレ,kawasakif,横浜Ｆ・マリノス,yokohamafm,2,2,0,0,0,0,15,6,11,10,7,12
25014,2021/03/17,18:01,味の素スタジアム,4133,晴,12.7,22.0,ＦＣ東京,ftokyo,湘南ベルマーレ,shonan,3,2,1,2,1,1,11,4,18,5,6,14
25013,2021/03/14,15:03,昭和電工ドーム大分,9590,屋内,15.3,54.0,大分トリニータ,oita,ＦＣ東京,ftokyo,1,0,1,1,1,0,8,4,6,9,6,8
25012,2021/03/14,14:03,ＩＡＩスタジアム日本平,7715,晴,19.0,30.0,清水エスパルス,shimizu,サガン鳥栖,tosu,0,0,0,0,0,0,1,2,7,11,8,8
25011,2021/03/14,13:03,日産スタジアム,4864,晴,16.6,20.0,横浜Ｆ・マリノス,yokohamafm,浦和レッズ,urawa,3,2,1,0,0,0,19,5,12,7,2,10
25009,2021/03/13,18:03,ノエビアスタジアム神戸,8934,屋内,14.0,52.0,ヴィッセル神戸,kobe,名古屋グランパス,nagoya,0,0,0,1,1,0,7,2,7,6,3,12
25010,2021/03/13,17:33,等々力陸上競技場,4744,雨,13.0,82.0,川崎フロンターレ,kawasakif,柏レイソル,kashiwa,1,0,1,0,0,0,13,7,19,5,7,10
25007,2021/03/13,16:03,レモンガススタジアム平塚,3642,雨,12.8,90.0,湘南ベルマーレ,shonan,ベガルタ仙台,sendai,3,1,2,1,0,1,10,4,13,13,5,14
25008,2021/03/13,16:03,県立カシマサッカースタジアム,6829,雨のち曇,12.8,72.0,鹿島アントラーズ,kashima,サンフレッチェ広島,hiroshima,1,0,1,1,1,0,21,7,16,6,5,12
25005,2021/03/13,16:00,ニッパツ三ツ沢球技場,2857,雨のち曇,11.1,90.0,横浜ＦＣ,yokohamafc,セレッソ大阪,cosaka,1,0,1,4,1,3,7,4,10,17,7,12
25006,2021/03/13,14:01,鳴門・大塚スポーツパーク ポカリスエットスタジアム,4203,晴,15.2,40.0,徳島ヴォルティス,tokushima,アビスパ福岡,fukuoka,1,1,0,2,0,2,9,6,11,4,2,13
25002,2021/03/10,19:04,駅前不動産スタジアム,4604,晴,13.6,51.0,サガン鳥栖,tosu,ベガルタ仙台,sendai,5,3,2,0,0,0,15,2,8,7,8,15
24998,2021/03/10,19:03,等々力陸上競技場,4853,晴,11.1,20.0,川崎フロンターレ,kawasakif,徳島ヴォルティス,tokushima,2,2,0,0,0,0,18,4,12,2,4,10
25000,2021/03/10,19:03,ヤンマースタジアム長居,6063,晴,9.2,39.0,セレッソ大阪,cosaka,清水エスパルス,shimizu,2,1,1,1,1,0,9,11,4,10,8,11
24995,2021/03/10,19:03,県立カシマサッカースタジアム,4546,晴,10.9,20.0,鹿島アントラーズ,kashima,湘南ベルマーレ,shonan,3,1,2,1,0,1,17,10,9,6,1,9
25001,2021/03/10,19:03,エディオンスタジアム広島,3821,晴,12.2,50.0,サンフレッチェ広島,hiroshima,北海道コンサドーレ札幌,sapporo,2,2,0,1,1,0,11,6,15,21,5,10
25352,2021/12/04,14:03,鳴門・大塚スポーツパーク ポカリスエットスタジアム,8170,晴,12.2,29.0,徳島ヴォルティス,tokushima,サンフレッチェ広島,hiroshima,2,0,2,4,3,1,6,5,4,7,3,11
25346,2021/12/04,14:03,味の素スタジアム,14364,晴,17.2,28.0,ＦＣ東京,ftokyo,アビスパ福岡,fukuoka,0,0,0,0,0,0,8,2,18,10,4,18
