id,game_day,kickoff_time,stadium_name,spectators_num,weather,temperature,humidity,home_team_name,home_team_id,away_team_name,away_team_id,home_score,home_score_1st,home_score_2nd,away_score,away_score_1st,away_score_2nd,home_sh,home_ck,home_fk,away_sh,away_ck,away_fk
16804,2015/03/07,14:04,豊田スタジアム,33558,曇,13.4,50.0,名古屋グランパス,nagoya,松本山雅ＦＣ,matsumoto,3,1,2,3,1,2,16,9,25,5,5,6
16856,2015/04/18,19:04,パロマ瑞穂スタジアム,9986,晴,15.3,35.0,名古屋グランパス,nagoya,清水エスパルス,shimizu,3,2,1,1,0,1,11,5,22,4,7,13
16855,2015/04/18,18:34,Ｓｈｏｎａｎ　ＢＭＷスタジアム平塚,14538,晴,16.2,54.0,湘南ベルマーレ,shonan,ガンバ大阪,gosaka,0,0,0,2,1,1,7,8,15,10,8,13
16854,2015/04/18,17:04,埼玉スタジアム２００２,33793,晴,17.9,45.0,浦和レッズ,urawa,横浜Ｆ・マリノス,yokohamafm,2,2,0,1,1,0,12,2,17,7,4,18
16853,2015/04/18,16:03,味の素スタジアム,24369,晴,17.6,46.0,ＦＣ東京,ftokyo,サンフレッチェ広島,hiroshima,1,1,0,2,1,1,7,3,19,12,1,13
16850,2015/04/18,14:04,ＮＤソフトスタジアム山形,7067,晴のち曇一時雨,16.8,20.0,モンテディオ山形,yamagata,松本山雅ＦＣ,matsumoto,0,0,0,0,0,0,10,5,10,12,6,13
16851,2015/04/18,14:04,山梨中銀スタジアム,8033,晴,18.6,31.0,ヴァンフォーレ甲府,kofu,サガン鳥栖,tosu,0,0,0,3,2,1,5,4,20,9,3,14
16849,2015/04/18,14:04,ユアテックスタジアム仙台,13644,晴,18.2,27.0,ベガルタ仙台,sendai,川崎フロンターレ,kawasakif,2,1,1,3,0,3,20,5,12,22,7,6
16852,2015/04/18,14:03,デンカビッグスワンスタジアム,16068,晴,16.6,36.0,アルビレックス新潟,niigata,ヴィッセル神戸,kobe,2,2,0,2,1,1,7,5,20,6,5,10
16848,2015/04/16,19:04,日立柏サッカー場,10076,曇,17.3,59.0,柏レイソル,kashiwa,鹿島アントラーズ,kashima,1,0,1,3,1,2,13,7,17,14,8,15
16847,2015/04/12,19:04,県立カシマサッカースタジアム,10261,曇,11.4,79.0,鹿島アントラーズ,kashima,アルビレックス新潟,niigata,1,0,1,1,1,0,7,7,11,9,6,14
16846,2015/04/12,17:03,等々力陸上競技場,24992,曇,14.9,51.0,川崎フロンターレ,kawasakif,浦和レッズ,urawa,1,1,0,1,0,1,7,3,20,10,8,10
16845,2015/04/12,16:04,ベストアメニティスタジアム,8852,曇時々雨,18.8,50.0,サガン鳥栖,tosu,モンテディオ山形,yamagata,1,0,1,0,0,0,5,3,20,12,6,14
16843,2015/04/12,16:04,Ｓｈｏｎａｎ　ＢＭＷスタジアム平塚,14581,曇,16.1,44.0,湘南ベルマーレ,shonan,ＦＣ東京,ftokyo,0,0,0,1,0,1,6,1,18,10,4,20
16844,2015/04/12,16:04,ノエビアスタジアム神戸,15494,晴のち曇,16.6,50.0,ヴィッセル神戸,kobe,ヴァンフォーレ甲府,kofu,4,2,2,1,0,1,20,4,15,8,4,18
