id,game_day,kickoff_time,stadium_name,spectators_num,weather,temperature,humidity,home_team_name,home_team_id,away_team_name,away_team_id,home_score,home_score_1st,home_score_2nd,away_score,away_score_1st,away_score_2nd,home_sh,home_ck,home_fk,away_sh,away_ck,away_fk
21502,2019/03/02,15:03,ノエビアスタジアム神戸,25172,晴,14.5,41.0,ヴィッセル神戸,kobe,サガン鳥栖,tosu,1,0,1,0,0,0,13,4,16,4,2,14
21501,2019/03/02,14:03,パロマ瑞穂スタジアム,19861,晴,15.3,22.0,名古屋グランパス,nagoya,セレッソ大阪,cosaka,2,0,2,0,0,0,12,8,12,4,0,17
21500,2019/03/02,14:03,ＩＡＩスタジアム日本平,16710,晴,15.0,53.0,清水エスパルス,shimizu,ガンバ大阪,gosaka,2,1,1,4,1,3,12,3,9,15,10,15
21499,2019/03/02,13:03,日産スタジアム,22751,晴,13.0,20.0,横浜Ｆ・マリノス,yokohamafm,ベガルタ仙台,sendai,2,2,0,1,0,1,18,3,17,6,4,15
21498,2019/03/01,19:03,エディオンスタジアム広島,7741,晴,8.8,76.0,サンフレッチェ広島,hiroshima,ジュビロ磐田,iwata,0,0,0,0,0,0,7,7,15,8,6,18
21497,2019/03/01,19:03,等々力陸上競技場,23927,晴,11.6,56.0,川崎フロンターレ,kawasakif,鹿島アントラーズ,kashima,1,1,0,1,1,0,18,7,10,5,0,10
21496,2019/02/23,16:03,Ｓｈｏｎａｎ ＢＭＷ スタジアム平塚,13249,曇,11.7,23.0,湘南ベルマーレ,shonan,北海道コンサドーレ札幌,sapporo,2,0,2,0,0,0,10,5,12,9,4,21
21495,2019/02/23,15:04,パナソニック スタジアム 吹田,27064,晴,11.0,22.0,ガンバ大阪,gosaka,横浜Ｆ・マリノス,yokohamafm,2,1,1,3,3,0,8,7,16,21,5,23
21494,2019/02/23,15:04,ヤマハスタジアム（磐田）,14469,曇,17.7,20.0,ジュビロ磐田,iwata,松本山雅ＦＣ,matsumoto,1,0,1,1,1,0,11,7,12,13,5,18
21493,2019/02/23,15:03,県立カシマサッカースタジアム,19463,晴,10.6,45.0,鹿島アントラーズ,kashima,大分トリニータ,oita,1,0,1,2,1,1,18,7,19,10,4,10
21489,2019/02/23,14:04,ユアテックスタジアム仙台,18567,晴,10.0,24.0,ベガルタ仙台,sendai,浦和レッズ,urawa,0,0,0,0,0,0,7,2,20,6,2,22
21490,2019/02/23,14:03,等々力陸上競技場,23113,晴,14.5,23.0,川崎フロンターレ,kawasakif,ＦＣ東京,ftokyo,0,0,0,0,0,0,11,8,10,5,5,13
21491,2019/02/23,14:03,エディオンスタジアム広島,14084,晴,13.8,39.0,サンフレッチェ広島,hiroshima,清水エスパルス,shimizu,1,0,1,1,1,0,14,3,14,5,3,17
21492,2019/02/23,14:03,駅前不動産スタジアム,18382,晴,16.8,30.0,サガン鳥栖,tosu,名古屋グランパス,nagoya,0,0,0,4,0,4,7,3,14,11,6,25
21488,2019/02/22,19:33,ヤンマースタジアム長居,42221,曇,11.4,52.0,セレッソ大阪,cosaka,ヴィッセル神戸,kobe,1,0,1,0,0,0,10,4,16,11,4,14
21580,2019/05/12,13:04,サンプロ　アルウィン,16646,晴,25.1,20.0,松本山雅ＦＣ,matsumoto,北海道コンサドーレ札幌,sapporo,0,0,0,0,0,0,11,8,10,10,6,9
21788,2019/12/07,14:04,サンプロ　アルウィン,16881,曇,5.5,36.0,松本山雅ＦＣ,matsumoto,湘南ベルマーレ,shonan,1,0,1,1,0,1,19,3,20,11,5,12
